account_id,campaign,ad_pack,impressions,clicks,cost,views,install,orders,revenue,link_clicks,conversions,conversion_value,engagements,date,channel,request_id,updated_at
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1793,29,7954,0.0,442.78,0.0,0.0,29.0,5.0,369455.0,0.0,2025-01-24,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,52131,762,615382,2434.0,2565.77,0.0,0.0,762.0,9.63,587948.14,0.0,2025-01-24,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1849,28,9010,0.0,476.8,0.0,0.0,28.0,5.0,405658.84,0.0,2025-01-25,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,21193,281,208523,941.0,1578.2,0.0,0.0,281.0,5.02,288866.94,0.0,2025-01-25,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1866,29,7031,0.0,191.74,0.0,0.0,29.0,1.0,32000.0,0.0,2025-01-26,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,27879,375,207572,689.0,1579.97,0.0,0.0,375.0,7.54,490247.7,0.0,2025-01-26,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1773,43,15410,0.0,795.38,0.0,0.0,43.0,7.0,706315.0,0.0,2025-01-27,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,30218,331,204187,469.0,1091.57,0.0,0.0,331.0,3.0,204374.84,0.0,2025-01-27,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,45,1,101,0.0,20.86,0.0,0.0,1.0,1.0,67800.0,0.0,2025-01-28,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,80,1,403,7.0,5.19,0.0,0.0,1.0,0.0,0.0,0.0,2025-01-28,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,8042,71,80467,235.0,498.23,0.0,0.0,71.0,2.05,90552.66,0.0,2025-01-30,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1854,31,9522,0.0,652.65,0.0,0.0,31.0,11.0,815080.0,0.0,2025-01-31,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,46857,659,307919,522.0,2388.15,0.0,0.0,659.0,5.76,373424.71,0.0,2025-01-31,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,2623,46,14742,0.0,776.96,0.0,0.0,46.0,6.0,317800.0,0.0,2025-02-01,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,49055,731,335952,604.0,2500.48,0.0,0.0,731.0,5.51,492744.86,0.0,2025-02-01,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,2216,46,16525,0.0,283.03,0.0,0.0,46.0,5.0,307000.0,0.0,2025-02-02,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,68040,1198,459819,1175.0,3617.8,0.0,0.0,1198.0,10.8,768817.34,0.0,2025-02-02,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1960,42,10670,0.0,868.16,0.0,0.0,42.0,7.0,632050.0,0.0,2025-02-03,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,36708,469,397831,2105.0,2034.55,0.0,0.0,469.0,9.27,780769.37,0.0,2025-02-03,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1839,46,12715,0.0,663.69,0.0,0.0,46.0,4.0,580390.0,0.0,2025-02-04,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,25430,321,397383,2462.0,1986.12,0.0,0.0,321.0,13.71,1114542.44,0.0,2025-02-04,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1581,31,8728,0.0,415.64,0.0,0.0,31.0,2.0,177831.77,0.0,2025-02-05,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,26224,287,399996,1888.0,1386.5,0.0,0.0,287.0,11.68,802269.89,0.0,2025-02-05,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1844,51,12227,0.0,1211.21,0.0,0.0,51.0,8.08,463547.44,0.0,2025-02-06,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,26471,327,428188,2056.0,1550.14,0.0,0.0,327.0,13.36,856250.69,0.0,2025-02-06,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1537,41,13183,0.0,439.8,0.0,0.0,41.0,1.0,71400.0,0.0,2025-02-07,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,29733,415,403340,2663.0,1891.29,0.0,0.0,415.0,5.11,332766.57,0.0,2025-02-07,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1611,25,7592,0.0,177.99,0.0,0.0,25.0,3.0,202400.0,0.0,2025-02-08,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,34461,510,418600,3486.0,2100.32,0.0,0.0,510.0,21.88,1533768.99,0.0,2025-02-08,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,2107,37,12207,0.0,344.12,0.0,0.0,37.0,0.0,0.0,0.0,2025-02-09,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,55541,569,409973,7855.0,2330.35,0.0,0.0,569.0,19.1,1628350.36,0.0,2025-02-09,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1931,52,14771,0.0,571.33,0.0,0.0,52.0,3.0,204290.0,0.0,2025-02-10,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,46041,549,412544,6029.0,1848.06,0.0,0.0,549.0,7.36,515953.65,0.0,2025-02-10,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1872,31,10022,0.0,294.79,0.0,0.0,31.0,1.16,60405.52,0.0,2025-02-11,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,31007,418,411013,2674.0,1797.54,0.0,0.0,418.0,26.05,1598018.54,0.0,2025-02-11,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1747,38,11941,0.0,468.58,0.0,0.0,38.0,4.0,248978.41,0.0,2025-02-12,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,32896,442,417381,3663.0,1558.15,0.0,0.0,442.0,6.58,644391.46,0.0,2025-02-12,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1809,43,12603,0.0,779.28,0.0,0.0,43.0,7.0,366532.0,0.0,2025-02-13,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,34709,425,410421,2617.0,1754.99,0.0,0.0,425.0,7.4,697152.31,0.0,2025-02-13,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1762,42,12442,0.0,879.05,0.0,0.0,42.0,3.0,213600.0,0.0,2025-02-14,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_배너,디멘드젠_이미지 배너,2832,25,11410,0.0,18.13,0.0,0.0,25.0,0.0,0.0,0.0,2025-02-14,google||디멘드젠_배너(22236393020)||디멘드젠_이미지 배너(177670771889,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,27829,361,303069,3150.0,1875.88,0.0,0.0,361.0,4.83,336955.98,0.0,2025-02-14,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1682,30,10795,0.0,379.95,0.0,0.0,30.0,4.0,283700.0,0.0,2025-02-15,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_배너,디멘드젠_이미지 배너,34370,296,125066,0.0,643.15,0.0,0.0,296.0,2.43,180702.43,0.0,2025-02-15,google||디멘드젠_배너(22236393020)||디멘드젠_이미지 배너(177670771889,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,33706,446,310519,4547.0,1455.88,0.0,0.0,446.0,15.22,1131630.4,0.0,2025-02-15,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1730,27,11043,0.0,475.64,0.0,0.0,27.0,3.0,149150.0,0.0,2025-02-16,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_배너,디멘드젠_이미지 배너,16493,218,179799,0.0,5.58,0.0,0.0,218.0,0.0,0.0,0.0,2025-02-16,google||디멘드젠_배너(22236393020)||디멘드젠_이미지 배너(177670771889,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,36954,480,322100,4047.0,1695.38,0.0,0.0,480.0,18.41,1157466.85,0.0,2025-02-16,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1813,38,12021,0.0,557.34,0.0,0.0,38.0,2.0,114500.0,0.0,2025-02-17,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_배너,디멘드젠_이미지 배너,25740,402,176606,0.0,69.02,0.0,0.0,402.0,0.0,0.0,0.0,2025-02-17,google||디멘드젠_배너(22236393020)||디멘드젠_이미지 배너(177670771889,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,43596,621,322218,4484.0,2627.32,0.0,0.0,621.0,23.09,1541296.03,0.0,2025-02-17,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1754,51,14822,0.0,1007.05,0.0,0.0,51.0,5.01,419096.61,0.0,2025-02-18,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_배너,디멘드젠_이미지 배너,13659,297,92175,0.0,24.96,0.0,0.0,297.0,0.0,0.0,0.0,2025-02-18,google||디멘드젠_배너(22236393020)||디멘드젠_이미지 배너(177670771889,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,43244,750,295374,3307.0,2525.93,0.0,0.0,750.0,9.78,729071.75,0.0,2025-02-18,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,2092,48,14432,0.0,640.55,0.0,0.0,48.0,4.02,251756.36,0.0,2025-02-19,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,56954,655,303354,8154.0,2129.19,0.0,0.0,655.0,28.73,1657131.18,0.0,2025-02-19,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,2122,30,7549,0.0,352.21,0.0,0.0,30.0,1.01,90702.54,0.0,2025-02-20,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,44602,552,308326,4472.0,1648.8,0.0,0.0,552.0,14.55,1206429.92,0.0,2025-02-20,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
